식품명,칼로리,단백질,지방,탄수화물,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),탄수화물_cluster,단백질_cluster,지방_cluster,당류_cluster,칼로리_cluster
현미죽,64,1.2,0.4,15.2,0.4,1,0,0.09,0,1,0,0,0,0
호떡,147,2.7,5.91,20.14,4.76,2,0,0.86,,1,0,0,0,1
호박 된장국,17,1.2,0.4,2.17,0.49,212,0.3,0.07,,0,0,0,0,0
호박고지볶음,104,2.4,2.17,20.28,9.98,911,0,0.32,,1,0,0,1,0
호박나물,46,0.9,3.055,4.265,1.93,290.5,0.69,0.45,,0,0,0,0,0
호박볶음_호박,27,0.84,1.32,3.53,1.62,234,1.31,0.19,,0,0,0,0,0
호박오가리나물무침,201,6.14,10.01,21.46,6.82,1849,0,1.65,0.13,1,0,1,1,1
호박잎 된장국,17,1.3,0.37,2.53,0.54,183,0.06,0.06,,0,0,0,0,0
호박전,122.75,3.3825,7.3775,10.47,1.6525,181,46.45,1.3125,0.04,0,0,1,0,1
호박죽,51.8,1.184,0.488,10.896,3.428,100.2,0,0.042,0,0,0,0,0,0
호박찌개,32,1.87,0.87,4.07,1.93,341,3.09,0.13,0,0,0,0,0,0
혼합잡곡밥,118,2.4,0.34,25.2875,0.14,5.75,0,0.0825,,1,0,0,0,1
홍어무침,99,8.93,1.32,12.98,7.23,401,28.51,0.18,0,0,1,0,1,0
홍어찌개,51,7.7,0.97,3.15,0.79,84,25.46,0.17,,0,1,0,0,0
홍어찜,41,7.2,0.54,1.49,0.29,267,29.91,0.09,,0,0,0,0,0
홍어회무침,72,7.9,1.27,7.725,4.075,610.5,31.345,0.215,,0,1,0,0,0
홍합 무국,20.33333333,2.633333333,0.443333333,1.34,0.24,151,9.383333333,0.09,,0,0,0,0,0
홍합 미나리죽,64,1.9,0.305,13.125,0.77,85,1.88,0.07,,0,0,0,0,0
홍합국(홍합탕),17,2.8,0.24,0.75,0.04,110.25,10.5475,0.06,,0,0,0,0,0
홍합산적,196,22.23,6,13.22,4.17,900,75.89,1.04,0.05,0,2,0,0,1
화양적,155,9.725,8.27,10.31,0.985,523.5,63.965,2.025,0.06,0,1,1,0,1
황태구이,219,23.9,7.7,13.45,7.1,568,105.79,1.2,0.05,1,2,1,1,1
황태콩나물찜,82,10.17,1.99,6.92,1.74,244,19.43,0.35,,0,1,0,0,0
황태해장국,30,4.08,1.13,0.95,0.25,256,25.05,0.18,0,0,0,0,0,0
회덮밥,137,6.04,3.31,20.66,2.19,149,17.73,0.58,0.02,1,0,0,0,1
회무침,82,8.09,1.65,8.6,4.53,275,26.4,0.52,0.03,0,1,0,0,0
훈제오리,289,22.035,20.395,4.345,0.26,688,103.22,5.54,0.14,0,2,2,0,2
훠궈_소고기,93,4.81,5.11,6.83,1.13,390,9.65,0.97,0.07,0,0,0,0,0
흑미밥,119,2.18,0.2675,25.7725,0.095,2,0,0.075,,1,0,0,0,1
흑임자 죽,83.5,1.65,4.05,10,0.45,144.5,0,0.405,0.09,0,0,0,0,0
