식품명,calories,protein,fat,carbohydrates,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),carbohydrates_cluster,protein_cluster,fat_cluster,calories_cluster
밀면_물밀면,-0.5664345675734898,-0.6819119584646816,-0.7517873291948853,0.11915626178588187,3.68,303.0,7.37,0.15,0.0,1,0,0,0
밀푀유나베,-0.7363632704636046,-0.42054275127527846,-0.32674395399922895,-0.8108854271637215,1.5,397.0,7.99,0.39,0.06,0,0,0,0
바게트,1.4196071474547283,0.33382825390611226,-0.6361625029922355,3.0989556405198724,0.0,537.0,0.0,0.16,0.0,2,1,0,2
바지락 된장국,-1.1505644837582598,-0.8165092747418592,-0.7762151093785438,-0.8698597930439876,0.41,130.0,0.59,0.06,,0,0,0,0
바지락 미역국,-1.1824261155501563,-0.7695567225521459,-0.7876147401309177,-0.9144890428993241,0.1,304.0,1.27,0.06,,0,0,0,0
바지락 수제비,-0.9275330612149839,-0.8321601254717635,-0.756672885231617,-0.5096379906401995,0.195,171.0,6.935,0.11,,0,0,0,0
바지락국,-1.1399439398276274,-0.7226041703624329,-0.7490731313424172,-0.9527426856324698,0.11,224.0,1.236666667,0.09,,0,0,0,0
바지락찜,-0.43898804040590356,0.18514517197202082,-0.5547365690467074,-0.28250698691214726,4.59,830.0,6.02,0.32,,0,1,0,0
밤밥,0.293829490807717,-0.5347939616035804,-0.7957573335254704,1.5903276052314412,0.42,3.0,0.0,0.07,,1,0,0,1
방풍나물무침,-0.5133318479203288,-0.37985053937752716,-0.5514795316888863,-0.15579179535860233,2.91,267.0,0.0,0.23,0.0,0,0,0,0
배추 겉절이,-0.9700152369375126,-0.8055536792309261,-0.7020011866788048,-0.5617813488667769,2.708571429,590.8571429,0.821428571,0.128571429,0.0,0,0,0,0
배추 된장국,-1.166495299654208,-0.8830253903439528,-0.7774364983877267,-0.8593001937478588,0.68,222.0,1.8775,0.06,,0,0,0,0
배추국,-1.224908291272685,-0.8634618269315723,-0.8169280763513078,-0.9407884222783618,0.37,112.3333333,10.48333333,0.03,,0,0,0,0
배추김치,-0.9169125172843517,-0.7570360419682225,-0.7631869599472593,-0.494495923724996,2.4,551.0,0.0,0.07,0.0,0,0,0,0
배추나물,-0.8043347516196506,-0.716030813055873,-0.5501767167457579,-0.4718625184412182,3.656,397.6,0.0,0.262,0.03,0,0,0,0
배추숙주나물,-1.0868412201744666,-0.8321601254717635,-0.7322451050479586,-0.7264086327946915,1.33,127.0,0.0,0.11,,0,0,0,0
배추전,-0.022131691128590442,-0.5527924399429704,0.14104803651782968,0.07691786460136696,2.0125,463.75,26.1025,1.02,0.05,1,0,1,1
백김치,-1.1505644837582598,-0.9182398044862375,-0.8218136323880394,-0.7726317844305758,1.04,395.0,0.0,0.01,0.01,0,0,0,0
백설기,1.0903702856051305,-0.4807985265854103,-0.6418623183684226,3.000133730125913,3.95,250.5,0.0,0.155,0.0,2,0,0,1
백합죽,-0.6301578311572829,-0.697562809194586,-0.7029317688275686,-0.04740647428135641,0.0,142.0,4.59,0.19,0.0,0,0,0,0
밴댕이무침,0.2725884029464526,0.09906549295754678,0.5103146469607994,-0.09522352769778843,6.75,257.0,25.38,1.15,0.05,0,1,1,1
뱅어포구이,2.1364938627724004,4.064208525378819,1.124266188910081,0.7092983960336807,11.42,1516.0,497.82,2.47,0.11,1,2,1,2
뱅어포무침,2.8321394902288084,6.132468449335683,1.934454231668085,-0.1422436302239466,5.225,1199.0,829.085,3.46,,0,2,2,2
뱅어포튀김,6.453744970574381,5.381227614300274,6.509777460067307,1.7011037789795087,0.0,414.0,694.54,7.47,,1,2,2,2
버섯 덮밥,-0.2478182496545243,-0.6600007674428154,-0.5677647184779919,0.4602512428230971,0.54,63.0,4.14,0.64,,1,0,0,0
버섯 매운탕,-0.8425687097699265,-0.691302468902624,-0.6117347228085771,-0.45943008455294587,1.46,160.0,4.14,0.4,,0,0,0,0
버섯 샤브샤브,-1.0337385005213058,-0.7539058718222417,-0.6117347228085771,-0.8156671325053645,0.48,143.0,4.47,0.41,,0,0,0,0
버섯 잡채,0.2619678590158204,-0.31568205138491917,1.1568365624882921,-0.5112318924207472,1.94,207.0,11.84,2.87,,0,0,1,1
버섯구이,-0.7682249022555012,-0.2593389887572634,-0.608477685450756,-0.6307745259618274,0.11,492.0,0.0,0.41,0.01,0,0,0,0
버섯국,-0.874430341561823,-0.5504448123334847,-0.43748322416514707,-0.7957433602485179,0.5,161.0,7.66,0.72,,0,0,0,0
버섯무침,-0.693881094741076,-0.6380895764209492,-0.2192617211911319,-0.7375659452585256,0.09,311.0,0.0,0.46,0.01,0,0,0,0
버섯볶음,-0.3221620571689496,-0.6286990659830066,0.17646831778413444,-0.47138434790705386,4.24,524.0,0.0,0.8,0.04,0,0,1,0
버섯전,0.5253573484954986,-0.11472512801294706,0.5451649466894855,0.4961140328854214,0.868,524.8,49.54,1.448,0.04,1,0,1,1
버섯전골,-0.8478789817352426,-0.5801814287203031,-0.4566183186423462,-0.7305926249686293,0.6375,215.0,6.105,0.5725,0.11,0,0,0,0
버섯조림,-0.8266378938739781,-0.5645305779903987,-0.6101062041296665,-0.4913081201639005,1.75,281.0,0.225,0.8,0.06,0,0,0,0
버섯찌개,-0.8404446009838,-0.5635915269466044,-0.5693932371569025,-0.5389657834022777,1.732,383.8,4.232,0.454,0.03,0,0,0,0
버터빵_버터롤,2.0780808711539236,0.18514517197202082,0.9581572836612037,2.8136472218018276,11.0,410.0,15.0,6.0,0.35,2,1,1,2
딸기번,3.18261743993967,0.2508787450376192,1.7382177308593623,3.9381449279782546,10.53,315.0,30.0,6.32,0.0,2,1,1,2
로띠번,2.5984875237549003,0.41521267770161524,1.2236058283236253,3.2663153274773844,12.63,305.0,,8.42,,2,1,1,2
번데기탕,-1.0762206762438344,-0.7226041703624329,-0.5921924986616504,-0.9782451141212336,0.18,109.0,16.7,0.25,,0,0,0,0
베이글,1.9293932561250728,0.4981621865701083,0.11621312666444365,3.250376309671907,4.58,695.0,0.0,0.58,0.01,2,1,0,2
베이컨떡말이구이,1.2231270847380329,-0.08091929043635357,0.8897594991469601,1.3731584876318124,3.765,582.0,13.645,2.4,,1,0,1,1
베이컨채소볶음,0.18762405150139513,-0.08091929043635357,0.6015116929797909,-0.2099844558972253,4.78,241.0,18.77,2.39,,0,0,1,1
병어구이,1.2709195324258777,2.2823591697792067,1.809872552731427,-0.975854261450412,0.0,1559.0,90.24,3.92,,0,2,1,1
병어조림,-0.3434031450302139,0.5185082925189841,-0.21763320251222137,-0.6809824320490809,0.48,577.0,34.86,1.49,0.12,0,1,0,0
병어찌개,-0.7469838143942368,-0.23742779773539732,-0.4977384152848378,-0.7407537488196211,1.08,485.0,16.16,0.59,,0,0,0,0
보리밥,0.026191783755785954,-0.6862941966690547,-0.7944545185823422,1.216079467158833,0.56,2.2,0.0,0.076,0.0,1,0,0,1
보신탕,-0.874430341561823,-0.5973973645231979,-0.396770257192383,-0.8427634627746761,0.53,65.0,5.02,0.56,,0,0,0,0
보쌈김치,-0.8815107042176462,-0.6918241638747848,-0.6421337382025248,-0.5598458967274531,2.076666667,1510.333333,3.493333333,0.12,0.0,0,0,0,0
복 매운탕,-0.991256324798777,-0.2687294991952061,-0.7697010346629015,-0.8324031012011158,0.58,228.0,13.31,0.07,,0,0,0,0
복어튀김,1.8497391766453315,2.324616466749949,1.5810656783444932,0.43992899512111355,0.31,1059.0,78.2,2.375,0.15,1,2,1,2
복죽,-0.18409498607073121,-0.644349916712911,-0.38862766379783026,0.3303482477084568,0.01,154.0,12.16,0.42,,1,0,0,0
복지리,-1.001876868729409,-0.1904752455456842,-0.782729184094186,-0.8929713688619297,0.35,209.0,14.78,0.06,,0,0,0,0
복찜,-0.9381536051456161,-0.5113176855087239,-0.6833895446806418,-0.6841702356101765,0.87,137.0,5.81,0.16,,0,0,0,0
볶음 우동,-0.5876756554347541,-0.6482626293953871,-0.38740627478864736,-0.37834033146757984,0.1575,301.25,22.8125,0.515,,0,0,0,0
소고기 야끼소바,0.6974101601717398,-0.04179216361159264,1.1372943383413654,0.088872127955475,3.86,367.0,15.33,2.94,0.58,1,0,1,1
볶음밥,0.6761690723104755,-0.09030980087429613,0.07387164101276911,1.2384737871755287,0.895,247.0,36.795,1.38,0.05,1,0,0,1
계란볶음밥,0.5508466539290157,-0.13663631903481313,-0.024490887193428797,1.0576456301723882,0.196,152.2,75.446,1.16,0.05,1,0,0,1
김치볶음밥,0.45313764976719967,-0.32350747674987135,0.43865982508873463,0.540344807295621,7.76,395.0,55.135,1.395,0.05,1,0,1,1
삼선볶음밥,0.5062403694203605,-0.04022707853860223,0.24486610229837796,0.6969456572344359,0.4,303.0,81.63,1.58,0.04,1,0,1,1
새우볶음밥,-0.058418549912268455,-0.4208035988396131,-0.3582286484038825,0.46941617806124675,1.142,148.3333333,28.682,0.433333333,0.015,1,0,0,1
볼락 매운탕,-1.001876868729409,-0.519143110873676,-0.7485302918370643,-0.7829921460041359,1.27,191.0,10.22,0.08,,0,0,0,0
부대찌개,-0.5540439329523504,-0.4046310529810395,-0.32674395399922895,-0.46620416712027374,0.841666667,300.8333333,9.46,0.905,0.035,0,0,0,0
부추 겉절이,-1.0709104042785182,-0.8634618269315723,-0.6809467666622758,-0.7315888135814715,1.575,160.0,0.0,0.135,,0,0,0,0
부추 채소무침,-1.0868412201744666,-0.8947635283913811,-0.7241025116534058,-0.6921397445129152,2.24,171.0,0.0,0.08,,0,0,0,0
부추 초무침,-1.0762206762438344,-0.8947635283913811,-0.7061888061853896,-0.7200330256725005,1.76,187.0,0.0,0.13,,0,0,0,0
부추김치,-0.7937142076890185,-0.615865368384485,-0.5596221250834392,-0.49306141212250304,3.338,1154.0,1.844,0.252,0.005,0,0,0,0
부추나물,-1.1293233958969953,-0.8791126776614766,-0.6899036193962841,-0.8531238243482363,0.89,137.0,0.0,0.15,,0,0,0,0
부추무침,-0.6513989190185472,-0.6091355025706262,-0.3654212726233548,-0.41858635142641015,3.8225,656.5,3.6825,0.44,0.02,0,0,0,0
부추잡채,-0.407126408614007,-0.14352269335597098,0.028273118003273354,-0.7338468410773492,2.016666667,214.6666667,11.32333333,0.996666667,,0,0,0,0
부추전,0.827511823321984,-0.2726422118776821,0.24893739899565429,1.333310943118119,3.595,246.25,19.02,1.0625,0.05,1,0,1,1
북어강정,2.9171038416738657,1.6563251405830317,2.491407619855497,1.8178570844046307,6.19,2198.5,47.49,3.05,,2,1,2,2
북어구이,1.7276029214430615,6.210722702985205,0.12924127609572816,-0.17252776405435363,3.15,932.0,219.37,1.1,,0,2,1,2
북어국,-1.0231179565906736,-0.45810479302704893,-0.6736184326071784,-0.9447731767297312,0.12,232.0,21.61,0.17,0.0,0,0,0,0
북어양념구이,0.13452133184823423,2.110199811750259,-0.356057290219619,-0.4841355621514357,2.29,285.0,50.61,0.38,,0,2,0,1
북어조림,0.6124458087266824,2.1931493206187516,-0.2909165430631966,0.35425677441667286,8.2,766.0,99.63,0.67,0.05,1,2,0,1
북어찜,-0.06195873086846112,1.1813218209304344,-0.387813404458375,-0.24624572140468629,3.0,418.0,60.755,0.435,0.07,0,1,0,1
북어채 고추장 무침,1.823187816818751,4.661288480724672,0.8506750508531066,0.11198370377341708,4.13,942.0,108.12,1.57,,1,2,1,2
북어채무침,0.46906846566314797,2.968648974285514,-0.3804850704032775,-0.24385486873386472,3.915,524.5,100.725,0.475,0.02,0,2,0,1
분짜,0.12390078791760205,-0.14195760828298057,-0.23717542665914806,0.5622609567781522,5.47,398.0,17.97,1.15,0.01,1,0,0,1
불고기전골,-0.21595661786262774,-0.13413218291802842,-0.12643615649322998,-0.1844820274084615,5.3,296.0,19.49,1.18,0.4,0,0,0,0
불낙전골,-0.7788454461861334,-0.33915832747977565,-0.45906109666071204,-0.7718348335403019,0.6625,144.0,16.4175,0.66,,0,0,0,0
붕어 매운탕,-1.0762206762438344,-0.5817465137932935,-0.7192169556166741,-0.9256463553631583,0.25,112.0,7.0,0.12,,0,0,0,0
붕어찜,-0.5133318479203288,-0.293770860363053,-0.28765950570537546,-0.4929020219444483,1.47,359.0,16.93,0.53,0.03,0,0,0,0
브로콜리 두부무침,-0.9487741490762482,-0.7539058718222417,-0.7159599182588531,-0.5199983522137598,2.31,167.0,2.47,0.12,,0,0,0,0
브로콜리 버섯볶음,-1.0656001323132023,-0.8595491142490961,-0.6467478744051541,-0.7740264484885551,0.605,141.0,0.6525,0.2,,0,0,0,0
브로콜리 채소무침,-0.9593946930068804,-0.8008584240119547,-0.7762151093785438,-0.4371154596252776,2.98,182.0,4.67,0.07,,0,0,0,0
브로콜리무침,-0.9806357808681448,-0.8165092747418592,-0.7925002961676494,-0.45305447743075494,2.9,175.0,5.57,0.06,,0,0,0,0
브로콜리볶음,-0.7788454461861334,-0.3751552841585558,-0.6247628722398616,-0.5710032091912873,1.42,94.0,0.0,0.22,0.0,0,0,0,0
비름나물,-1.0266581378654824,-0.7695567225521459,-0.6719899139282678,-0.692671045132996,0.83,150.3333333,0.003333333,0.16,,0,0,0,0
비름나물무침,-0.5451934797122254,-0.5254034511656378,-0.17366319818163622,-0.5574550440566315,0.86,335.0,0.0,0.63,0.1,0,0,0,0
비빔 잡곡밥,0.14514187577886642,-0.5034922601437717,-0.48796730321137444,1.033258932930008,0.68,93.0,16.33,0.44,,1,0,0,1
비빔국수,0.13452133184823423,-0.35950443342865146,-0.3941646273061261,0.8258923112807476,2.985,407.8,24.5125,0.656,0.01,1,0,0,1
비빔막국수,-0.21595661786262774,-0.5880068540852552,-0.6931606567541051,0.6993365099052573,3.82,256.0,1.81,0.17,,1,0,0,0
비빔밥,0.27966876592089224,-0.2705554318325311,-0.13973572575861676,0.7953690921832585,1.92,237.3333333,37.04,1.093333333,0.045,1,0,0,1
꼬막비빔밥,-0.22657716179325993,0.08028447208166152,-0.29743061777883884,-0.13427412132120795,5.31,469.0,29.47,0.63,0.05,0,0,0,0
돌솥비빔밥,0.24072677115455604,-0.2233420320784834,-0.3528002528617979,0.9551577456831688,1.24,337.0,9.98,0.33,0.01,1,0,0,1
멍게비빔밥,0.13452133184823423,-0.4174125811292975,-0.29905913645774945,0.7957675676283954,4.18,286.0,5.48,0.6,0.03,1,0,0,1
열무비빔밥,0.19824459543202733,-0.5269685362386282,-0.3487289561645215,0.9336400716457744,0.295,117.0,4.5,0.875,,1,0,0,1
육회비빔밥,0.24072677115455604,-0.06683352477943966,-0.28603098702646496,0.8148943889949684,4.45,446.0,30.56,0.77,0.01,1,0,0,1
참치비빔밥,-0.035407371041880666,-0.2139515216405407,-0.2208902398700425,0.2335187145401819,0.78,129.5,23.315,0.635,,1,0,0,1
비프까스,0.8885799509231191,0.20079602270192515,1.394600289609234,-0.035452210927248366,2.51,261.0,57.57,4.78,,0,1,1,1
빙떡(메밀전병),0.46375819369783183,-0.09970031131223883,0.19112498589432944,0.7112907732593655,0.62,346.0,8.05,1.19,0.04,1,0,1,1
뼈다귀해장국,-1.0974617641050988,-0.644349916712911,-0.730616586369048,-0.9352097660464447,0.36,108.0,5.86,0.2,,0,0,0,0
사골국,-0.8956714294230873,-0.6380895764209492,-0.5307159185327767,-0.780003580165609,0.135,23.25,9.145,0.625,0.08,0,0,0,0
사태찜,-0.15223335427883466,0.8268300518981001,0.008730893856346605,-0.7192360747822266,0.13,302.0,94.95,1.13,0.14,0,1,0,1
산자,2.5666258919630036,-0.705388234559538,-0.3300009913570501,5.536828413867633,31.35,23.0,0.0,0.09,0.0,2,0,0,2
산적,0.8036155994780616,3.4812143356898817,0.5607987260070268,-0.8881896635202865,0.06,586.0,56.15,2.41,0.05,0,2,1,1
삶은 땅콩 조림,2.0780808711539236,0.722491046510376,1.83864304993502,1.8384449821377218,6.473333333,1273.333333,0.0,2.276666667,,2,1,1,2
삼각김밥_고추장불고기,0.4318965619059353,-0.494101749705829,-0.5759073118725447,1.7066824352114258,0.21,343.0,3.51,0.45,0.01,1,0,0,1
삼각김밥_숯불갈비,0.38941438618340657,-0.44088885722415416,-0.5612506437623497,1.5823580963287023,0.16,358.0,4.04,0.53,0.02,1,0,0,1
삼각김밥_참치마요네즈,0.649617712483895,-0.2945534028995483,0.09585664317806164,1.2755320035732636,0.01,256.0,7.44,0.8,0.02,1,0,0,1
삼겹살구이,3.6393008289568543,2.4639090382460975,5.956081109237715,-0.9838237703531507,0.0,576.0,39.72,12.42,0.34,0,2,2,2
삼계탕,-0.4878425424868115,0.10125661205973344,-0.3150186195110729,-0.6420912286037163,0.508,118.0,28.354,0.882,0.03,0,1,0,0
삼색 오이냉국,-1.1399439398276274,-0.973017782040903,-0.7990143708832916,-0.7311903381363347,2.68,234.0,0.0,0.04,,0,0,0,0
삼색냉채,-0.5699747488482987,-0.14873964354710306,-0.5026239713215696,-0.4299429016128128,4.173333333,377.0,56.70333333,0.7,,0,0,0,0
삼치 양념구이,0.6867896162411077,2.5014710799978683,-0.15900653007144122,0.21399341772847222,4.18,570.0,73.47,0.96,,1,2,0,1
삼치구이,-0.19046731242911044,1.0562715235984983,-0.023188072250300347,-0.918155016994584,0.044,253.0,48.846,1.016,0.07,0,1,0,0
삼치조림,-0.001421630463857657,1.101658990715221,-0.088980226878287,-0.5442256592780854,2.626,354.2,45.962,0.992,0.04,0,1,0,1
삼치찌개,-0.7894659901167655,-0.0965701411662579,-0.6247628722398616,-0.7447385032709904,1.08,347.0,16.97,0.27,,0,0,0,0
삼치튀김,0.12390078791760205,1.0850690889415224,0.2806935132344103,-0.7280025345752391,0.015,920.5,71.28,1.33,,0,1,1,1
상추 겉절이,-1.0111698446687123,-0.8773519569543624,-0.6449157908913797,-0.6915420313452098,2.02625,204.0,0.82125,0.16125,0.03,0,0,0,0
새송이버섯 구이,-0.693881094741076,-0.7799906230909185,-0.06455244669462866,-0.6294462744514725,0.876666667,258.3333333,0.0,0.706666667,,0,0,0,0
새송이버섯볶음,-1.05497958838257,-0.8290299553257827,-0.571021755835813,-0.7359720434779778,0.28,163.0,0.0,0.22,,0,0,0,0
새송이버섯전,-0.6513989190185472,-0.5723560033553509,-0.22577579590677416,-0.5423129771414281,0.17,93.0,41.21,0.74,,0,0,0,0
새싹 샐러드,-0.07788954676440939,-0.8478109762016678,0.8930165365047812,-0.6124446554855284,2.49,74.0,3.03,1.56,,0,0,1,1
새우 탕수,0.7876847835821134,1.2181013201457094,0.45168797452001913,0.2920946049753111,6.28,289.5,137.03,1.295,,1,1,1,1
새우구이,-0.3699545048567944,1.3440906685214395,-0.44481155822024465,-0.897753074203573,0.015,326.5,148.155,0.395,0.05,0,1,0,0
새우무침,2.0887014150845555,4.723891883644289,1.0835532219373167,0.221165975740937,8.04,462.0,411.08,1.77,,1,2,1,2
새우볶음,-0.43898804040590356,0.48407642091319436,-0.47331063510117943,-0.536734320909511,3.99,326.0,79.67,0.38,0.03,0,1,0,0
새우전,1.2142766318165241,1.8696984050123664,1.0813818642416089,-0.0038398253474013194,0.653333333,642.3333333,199.0933333,2.073333333,0.06,0,2,1,1
새우젓국,-1.0620599510383932,-0.7591228220133736,-0.6866465820384628,-0.8353252544920184,0.803333333,279.0,4.263333333,0.146666667,,0,0,0,0
새우조림,-0.6089167432960184,0.21644687343182945,-0.49366711858756146,-0.7395583224842104,0.58,351.5,62.045,1.115,,0,1,0,0
새우탕,-0.9105401909259725,-0.12881089366986095,-0.7459246619508074,-0.8198112771347887,0.724,227.2,42.314,0.09,0.0,0,0,0,0
새우튀김,0.21948568329329168,0.044287515402881394,0.0706146036549479,0.305642770109967,2.215,321.5,28.43,0.845,,1,0,0,1
새우튀김롤,0.824856687339326,-0.31255188123893823,0.15366905627938648,1.545698355376105,3.71,464.0,18.62,1.14,0.04,1,0,1,1
샌드위치_B.E.L.T. 샌드위치,0.8726491350271708,0.18827534211800162,0.770877635586489,1.0109443080023395,3.95,363.0,17.05,3.005,0.1,1,1,1,1
샌드위치_닭가슴살,1.2284373567033489,0.8393507324820236,1.1079810021209753,0.6586920145012902,3.09,438.0,28.07,3.16,0.17,1,1,1,1
감자샐러드,0.2141754113279756,-0.748428074066775,0.645481697310376,0.09963096497417219,3.435,276.0,10.33,1.5,0.06,1,0,1,1
단호박샐러드,0.21948568329329168,-0.8548538590301248,0.6699094774940344,0.1458541166100565,8.875,76.0,5.43,1.395,0.05,1,0,1,1
닭가슴살샐러드,0.11328024398696987,0.0552431109138145,0.712250963145709,-0.5845513743259431,3.25,88.0,10.85,1.21,0.03,0,0,1,1
샐러드_새싹,-0.5345729357815932,-0.633394321201978,-0.04989577858443364,-0.6164294099368978,2.26,156.0,12.28,0.62,0.02,0,0,0,0
샐러드_양배추,0.2725884029464526,-0.6459150017859016,1.0737821098638536,-0.3366996474507702,7.95,97.0,5.14,1.79,0.05,0,0,1,1
샐러드_양상추,0.017695348611280238,-0.29846611558202435,0.8441609761374645,-0.7391598470390733,1.58,158.0,0.0,1.31,0.05,0,0,1,1
생선까스,1.0818738504606247,1.2672449914376092,1.0923472228034339,0.06703567356197096,0.592,454.4,77.328,2.1,0.12,1,1,1,1
생선전,0.5805841769347858,1.294790488722241,0.8001909718068791,-0.45225752654048107,0.15,468.0,119.17,2.11,0.06,0,1,1,1
소고기 샤브샤브,-0.9593946930068804,-0.6427848316399206,-0.6280199095976827,-0.7734287353208497,2.36,239.0,5.6,0.09,0.01,0,0,0,0
소고기스키야키,-0.5133318479203288,-0.09187488594728654,-0.5433369382943335,-0.32235453142584064,3.67,414.0,12.9,0.33,0.01,0,0,0,0
서대구이,0.38941438618340657,2.861440646785669,0.10644201459098021,-0.9551335383032913,0.0,1177.0,101.01,0.9,,0,2,0,1
섞박지,-0.9169125172843517,-0.7382550210923373,-0.6638473205337151,-0.5148181714269796,2.26,1689.0,1.215,0.205,,0,0,0,0
섞어찌개(모듬찌개),-0.8638097976311908,-0.644349916712911,-0.5555508283861628,-0.6407364120902506,1.18,242.0,4.715,0.49,,0,0,0,0
선지해장국,-0.9593946930068804,-0.3782854543045366,-0.6736184326071784,-0.8467482172260454,0.41,278.0,12.66,0.28,,0,0,0,0
선짓국,-0.923992879940175,-0.4982753099526397,-0.6204201557084829,-0.7678500790889325,0.683333333,394.6666667,3.363333333,0.366666667,,0,0,0,0
설렁탕,-0.9593946930068804,-0.5968756695510372,-0.6671043578915362,-0.7760852382618642,0.1,96.66666667,6.966666667,0.343333333,0.02,0,0,0,0
세발나물무침,-0.4920907600590645,-0.5958322794502074,-0.14109282460342498,-0.44986667386965945,3.67,701.0,0.0,0.59,0.12,0,0,0,0
세발낙지볶음,-0.5274925731257699,0.028636664672977073,-0.5357371844051336,-0.37123418600273944,4.083333333,417.0,47.84333333,0.356666667,,0,0,0,0
세발낙지찜,-0.5345729357815932,-0.20612609627558853,-0.1313217125299617,-0.7088757132086663,0.9,235.0,35.5,0.68,,0,0,0,0
소간 채소볶음,-0.04602791497251285,0.5764164402196301,0.028273118003273354,-0.3948770624407626,3.79,498.0,118.04,0.92,,0,1,0,1
소갈비 구이,1.1434730052582915,0.6937978206939129,1.906362284456878,-0.45385142832102876,3.9225,428.0,41.3,5.6775,,0,1,2,1
소갈비찜,0.6549279844492111,0.4347762411139957,1.2863037974616818,-0.48612793937712045,2.805,302.25,34.07,4.595,,0,1,1,1
소고기 감자죽,-0.41774695254463917,-0.6208736406180544,-0.4496971142569763,-0.021904045792592627,0.265,62.0,6.505,0.655,,0,0,0,0
소고기 덮밥,-0.08496990973884891,-0.4252380064942498,-0.34900037599862394,0.37577444845406727,0.81,96.0,10.09,1.196666667,,1,0,0,1
소고기 두부국,-0.9593946930068804,-0.6286990659830066,-0.47819619113791106,-0.9623060963157563,0.04,160.0,6.14,0.61,,0,0,0,0
소고기 떡찜,1.8975316243331763,0.5920672909495345,1.524881783922079,1.553667864278843,1.45,357.0,37.11,5.4,,1,1,1,2
소고기 무국,-1.0762206762438344,-0.8165092747418592,-0.5905639799827398,-0.9694786543282211,0.17,135.0,5.2,0.46,,0,0,0,0
소고기 완자전,2.0355986954313945,1.1398470664961875,2.928664885142983,-0.20918750500695146,0.19,481.5,79.43,7.165,,0,1,2,2
소고기버섯죽,-0.28499015341173695,-0.5919195667677314,-0.44481155822024465,0.2731670213313067,0.1025,168.25,5.5625,0.805,0.02,1,0,0,0
소고기볶음,0.6584681654054036,0.21644687343182945,1.6394209304626155,-0.7728974347007688,1.343333333,309.6666667,38.11666667,5.6,,0,1,1,1
소고기산적,1.0903702856051305,2.7205829902165295,1.2480336085072834,-0.7192360747822266,0.0,696.0,67.42,3.53,0.44,0,2,1,1
소고기스튜,0.6655485283798434,0.5138130373000126,1.0640109977903902,-0.2761313797899563,2.31,310.0,38.59,4.43,,0,1,1,1
소고기육개장,-1.0266581378654824,-0.7241692554354234,-0.586221263451361,-0.879954504347355,0.413333333,125.3333333,9.16,0.453333333,,0,0,0,0
소고기전골,-0.8000865340473977,-0.39445800000660164,-0.4135982834868416,-0.8339970029816636,0.533333333,175.6666667,9.44,0.643333333,0.15,0,0,0,0
어복쟁반,-0.9275330612149839,-0.5363590466765709,-0.5140236020739435,-0.8993469759841207,0.42,232.0,5.6,0.19,0.01,0,0,0,0
소고기찜,-0.05664845890314503,-0.20612609627558853,0.5599844666675714,-0.6084599010341591,2.64,163.0,23.445,3.33,,0,0,1,1
소고기채소볶음,0.41065547404467095,-0.01049046215178386,1.2081349008739748,-0.5897315551127232,3.39,297.0,28.055,4.33,,0,0,1,1
소고기튀김,1.4196071474547283,0.5607655894897259,2.247944077358368,-0.20599970144585605,1.88,428.0,70.28,6.59,,0,1,2,2
소곱창 구이,0.4956198254897284,0.3103519778112559,1.1030954460842437,-0.7160482712211311,2.43,296.0,190.33,2.84,,0,1,1,1
소곱창 볶음,0.5699636330041536,0.34165367927106455,1.3783151028201284,-0.6140385572660761,1.79,369.0,97.88,3.11,,0,1,1,1
소금빵,2.640969699477429,0.07089396164371882,1.8310432955572642,2.9005148688416797,9.09,545.0,0.0,9.09,0.0,2,0,1,2
소내장구이,-0.3434031450302139,-0.01049046215178386,0.23020943418818296,-0.9519457347421959,0.1,57.0,120.37,1.83,,0,0,1,0
소등심 스테이크,1.1886103169634783,0.6703215445990564,2.3167489915423394,-0.7973372620290657,1.7725,172.5,57.82,8.1525,,0,1,2,1
소등심구이,2.0488743753446848,1.4215623796344665,3.5263312403031577,-0.9961765091523955,0.0,312.25,80.3325,11.0225,,0,1,2,2
소라무침,-0.024786827111248487,1.8597862000717889,-0.5759073118725447,-0.4171916873684309,2.0,55.0,42.2,0.26,,0,2,0,1
소라산적,0.2725884029464526,2.4388676770782505,-0.3218583979624972,-0.36937463395199877,1.06,496.0,125.43,0.47,0.02,0,2,0,1
소보로빵,2.8640011220207047,0.28609315917990397,1.4776547422336725,3.604620980398641,16.725,342.5,42.115,6.5,0.435,2,1,1,2
소불고기,0.9692960847959237,0.8531234811243397,1.7108586170536648,-0.585985885928436,3.302,329.6,51.242,6.074,0.13,0,1,1,1
소사태찜,-0.010626102224423638,0.7329249475186739,-0.14869257849262493,-0.2864917413635166,2.59,232.0,26.73666667,1.136666667,,0,1,0,1
소세지빵,1.462089323177257,-0.2249071171514738,1.6714484650240296,1.0109443080023395,6.92,354.0,11.54,3.85,0.0,1,0,1,2
소시지 케첩볶음,0.9761994383508346,0.4981621865701083,1.5281388212799,-0.12072595618655221,4.1025,576.25,39.42,4.0975,,0,1,1,1
소시지볶음,0.5115506413856766,0.16792923616912594,0.9977845709718545,-0.21410203576262402,3.271666667,545.1666667,27.23833333,3.37,0.095,0,1,1,1
소시지조림,0.9629237584375444,0.7564012236135306,1.2936321315167794,0.0063877108121297025,4.355,1088.0,42.76,4.055,,0,1,1,1
