식품명,calories,protein,fat,carbohydrates,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),carbohydrates_cluster,protein_cluster,fat_cluster,calories_cluster
두부찌개,-1.001876868729409,-0.7069533196325285,-0.704560287506479,-0.7128604676600357,1.02,202.0,1.58,0.13,,0,0,0,0
두부튀김,0.0070748046806480575,-0.04179216361159264,0.20008183862833748,-0.22213795697390176,0.8675,270.0,20.5075,1.0375,,0,0,1,1
들깨국,-1.1647252089637008,-0.9683225268219315,-0.7089030040378578,-0.8852675102293841,0.396666667,145.0,0.0,0.066666667,,0,0,0,0
들깨죽,0.3097603067036652,-0.4800159840489151,0.12191294204063063,0.6877807219962863,0.255,630.5,0.0,0.625,,1,0,0,1
들깻잎장아찌,-0.0035457392499841233,-0.4361936020051828,-0.7648154786261698,1.0603552631993194,16.41,1809.0,0.0,0.06,0.0,1,0,0,1
땅콩조림,2.070115463205949,1.0713745945528559,2.9689707224460187,0.33891546977890097,5.9075,386.75,0.0,4.11,0.05,1,1,2,2
땅콩죽,0.12744096887379458,-0.48262445922273534,-0.2914593825685495,0.7901889113964783,0.436666667,165.0,0.0,0.64,,1,0,0,1
떡갈비,0.824856687339326,2.279228999633226,1.0916958153318697,-0.8156671325053645,0.4,404.0,68.04,4.29,0.42,0,2,1,1
떡강정,1.0107162061253891,-0.6134394865213498,0.006288115837980816,2.205972167968004,3.7825,336.75,0.0,0.88,0.05,2,0,0,1
떡국,-0.4283674964752714,-0.5300987063846091,-0.7469017731581536,0.29289155586558513,0.08,176.0,16.7,0.24,0.0,1,0,0,0
떡만두국,-0.44748447555040927,-0.6349594062749684,-0.5247718253547531,0.06894835569862831,0.118,195.2,12.376,0.484,0.015,1,0,0,0
떡볶이,0.8142361434086939,-0.45575716541756334,-0.29743061777883884,2.150185605648833,6.545,532.0,1.17,0.46,0.01,2,0,0,1
궁중식 떡볶이,0.45313764976719967,-0.24212305295436867,0.06898608497603738,0.9009650851445459,4.75,366.0,8.17,1.25,0.04,1,0,0,1
로제 떡볶이,0.6336868965879467,-0.38298070952350793,-0.0026687368960273674,1.399059391565713,4.12,498.0,60.13,3.13,0.02,1,0,0,1
떡산적,0.6044804007787082,0.22427229879678176,0.32222073954662955,0.6802096885386847,2.9725,422.25,32.06,1.7625,,1,1,1,1
돈코츠라멘,-0.27967988144642086,-0.4189776662022881,0.21229572872016672,-0.5439068789219758,0.77,377.0,20.85,1.23,0.01,0,0,1,0
미소라멘,-0.37526477682211046,-0.35167900806369917,-0.382113589082188,-0.10638084016162262,1.1,388.0,20.91,0.54,0.0,0,0,0,0
소유라멘,-0.5558140236428576,-0.49566683477881945,-0.44888285491752106,-0.28489783958296894,0.84,420.0,20.67,0.77,0.0,0,0,0,0
시오라멘,-0.4283674964752714,-0.33446307226080446,-0.48633878453246393,-0.09203572413669303,0.93,292.0,23.31,0.53,0.0,0,0,0,0
라면,-0.0927583082672945,-0.6625049035596001,-0.21893601745534982,0.3751368877418482,0.016,131.0,10.708,1.672,0.01,1,0,0,1
비빔라면,0.6867896162411077,-0.5379241317495613,0.09015682780187466,1.4596276592265272,1.81,375.0,0.0,2.51,0.03,1,0,0,1
짜장라면,0.5593430890735215,-0.494101749705829,-0.13620726856669327,1.458830708336253,0.63,306.0,0.0,1.69,0.03,1,0,0,1
짬뽕라면,-0.3434031450302139,-0.622438725691045,-0.2616032068428065,-0.03385830914670067,0.21,333.0,14.23,1.15,0.01,0,0,0,0
라볶이,-0.06372882187758454,-0.7158221350983105,-0.22197591904360015,0.4889414748729563,1.25,196.6666667,0.84,1.35,0.03,1,0,0,1
라조기,0.49207964453353586,0.6979713814102491,0.41911760094180806,0.10773329929094015,1.943333333,273.6666667,42.12666667,1.466666667,0.08,1,1,1,1
런천미트구이,1.9039039506915558,2.1872019973413885,2.4394578739982498,-0.2519040727256307,1.412,1062.0,68.23,6.262,0.16,0,2,2,2
베이컨버섯크림리조또,0.6655485283798434,-0.5801814287203031,1.168236193240666,0.25543486402271326,2.09,253.0,9.86,6.24,0.05,1,0,1,1
쉬림프로제리조또,0.5487225451428893,-0.5426193869685326,0.7578494861552045,0.4682207517258359,3.84,299.0,11.6,6.23,0.04,1,0,1,1
마늘빵,3.331305054968521,0.8205697116061385,2.0297225743843526,3.6058164067340517,7.36,519.0,26.68,8.66,0.18,2,1,2,2
마늘장아찌,-0.12037172248693812,-0.6866072136836529,-0.8071569642778444,1.0093504062217917,15.03,1127.0,0.0,0.04,0.0,1,0,0,1
마늘장아찌무침,-0.26905933751578864,-0.7726868926981268,-0.7192169556166741,0.7296206437356645,11.66,805.0,0.0,0.12,,1,0,0,0
마늘쫑무침,-0.5080215759550127,-0.7124311173879949,-0.5107665647161224,0.12911814791430523,6.43,452.75,1.4775,0.2975,0.03,1,0,0,0
마늘쫑볶음,-0.5717448395388058,-0.7108660323150046,-0.38862766379783026,-0.2546137057525619,3.615,387.0,0.0,0.405,0.01,0,0,0,0
마늘쫑장아찌,-0.06726900283377721,-0.7601662121142034,-0.8104140016356656,1.1671466824960177,13.02,1410.0,0.0,0.04,0.0,1,0,0,1
마늘쫑장아찌무침,-0.48147021612843227,-0.8634618269315723,-0.7387591797636008,0.40087840149769416,8.315,706.0,0.0,0.1,,1,0,0,0
마늘쫑조림,0.9841648462988087,-0.3000312006550147,0.8930165365047812,1.48911484216666,10.19,956.0,0.0,1.62,,1,0,1,1
마라탕,-0.6195372872266507,-0.45497462288106805,-0.30068765513665996,-0.6052720974730637,0.26,358.0,4.99,0.6,0.01,0,0,0,0
마카로니 샐러드,0.046901844420518736,-0.6286990659830066,0.37474046694149526,-0.027084226579372726,2.2575,155.0,10.4675,1.2025,,0,0,1,1
마카롱,3.7773679000550726,0.016115984089053563,4.070256479059286,2.592891825195966,41.94,47.0,26.1,14.96,0.26,2,0,2,2
마파두부,0.12177667913147573,0.22552436685517396,0.4383341213529526,-0.37766292321084705,2.09,298.0,6.554,1.292,0.03,0,1,1,1
고기만두,0.6283766246226307,0.6358896729932669,0.06491478827876092,0.7889934850610674,0.325,233.5,13.63,1.51,0.025,1,1,0,1
군만두,1.1647140931195559,0.033331919891948426,1.0395832176067317,1.026086374917543,2.77,385.0,9.49,3.28,0.06,1,0,1,1
김치만두,0.47968900959378014,0.3706077531213877,0.09097108714132991,0.6156566664265015,0.51,408.0,15.475,1.235,0.01,1,1,0,1
물만두,0.7505128798249008,0.19453568240996352,0.9793280264870411,0.23232328820477105,2.13,332.0,12.13,3.08,0.05,1,1,1,1
만두국,-0.6620194629491793,-0.5880068540852552,-0.4277121120916837,-0.46739959345568455,0.44,338.0,13.5,0.61,0.01,0,0,0,0
만두전골,-0.7151221826023403,-0.5019271750707812,-0.4700535977433583,-0.5694093074107396,0.7,250.0,5.84,0.55,0.01,0,0,0,0
만두탕수,-0.37526477682211046,-0.6091355025706262,-0.2449108903839733,-0.11913205440600451,1.705,163.5,2.145,0.955,,0,0,0,0
맛살전,0.9862889550849351,0.48188530181100786,0.30740121956854344,1.1924897208067267,3.204,904.4,49.88,1.266,0.06,1,1,1,1
망둥어찌개,-0.8531892537005586,-0.14352269335597098,-0.6947891754330158,-0.7407537488196211,1.08,483.0,21.55,0.13,,0,0,0,0
망둥어찜,-0.7682249022555012,0.26339942562154267,-0.7192169556166741,-0.7758195879916712,0.68,202.0,36.7,0.12,,0,1,0,0
매생이국,-1.0656001323132023,-0.7539058718222417,-0.7420162171214219,-0.7981342129193395,0.08,284.0,1.32,0.12,0.02,0,0,0,0
매실장아찌,1.2602989884952454,-0.8086838493769068,-0.7631869599472593,3.6193645718687075,38.16,1126.0,0.0,0.08,0.0,2,0,0,1
매운 어묵볶음,-0.3646442328914783,-0.2687294991952061,-0.356057290219619,-0.1334771704309341,2.38,397.0,8.01,0.5,,0,0,0,0
매운탕,-0.5770551115041219,0.45746997467235695,-0.382113589082188,-0.8905805161911082,0.24,300.0,62.51,0.51,0.01,0,1,0,0
매작과,3.0657914567027165,0.10845600339548934,1.3082887996269743,4.256925284087802,16.42,99.0,33.42,2.35,0.1,2,1,1,2
머위나물,-1.05497958838257,-0.8321601254717635,-0.6149917601663982,-0.8188549360664601,0.41,184.0,0.0,0.16,,0,0,0,0
머위나물무침,-0.41774695254463917,-0.8133791045958783,0.4142320449050763,-0.813276279834543,0.44,452.0,0.0,0.82,0.06,0,0,1,0
머위나물볶음,-0.5558140236428576,-0.7022580644135572,-0.07269504008918144,-0.6076629501438852,1.2,479.0,0.0,0.53,0.0,0,0,0,0
머위대나물무침,-0.7045016386717081,-0.4471491975161159,-0.41631248133930976,-0.6323684277423751,0.34,363.0,25.22,0.32,0.02,0,0,0,0
머핀,2.757795682714383,-0.17012913959680842,1.420656588471803,3.70224746445719,39.65,411.0,59.16,6.86,0.15,2,0,1,2
메기 매운탕,-0.693881094741076,-0.44088885722415416,-0.5954495360194715,-0.422770343600348,0.69,264.0,10.42,0.42,,0,0,0,0
메기찜,-0.5664345675734898,0.07558921686269017,-0.4537684109542527,-0.5837544234356692,0.77,150.0,20.83,0.6,,0,0,0,0
메밀국수_온면,-0.6513989190185472,-0.5754861735013318,-0.7859862214520071,-0.05059427784245181,0.0,194.0,0.0,0.12,0.0,0,0,0,0
메밀묵 무침,-0.6301578311572829,-0.8165092747418592,-0.6263913909187722,-0.05139122873272566,1.46,249.0,0.0,0.21,,0,0,0,0
메밀묵국,-0.6513989190185472,-0.8243347001068113,-0.6304626876160485,-0.08406621523395423,1.4125,240.0,0.0,0.205,,0,0,0,0
메밀소바,-0.407126408614007,-0.6772167032457101,-0.7811006654152755,0.41960674741913,1.44,254.0,0.0,0.08,,1,0,0,0
마제소바,0.23010622722392388,-0.1779545649617607,-0.14597838064015672,0.6969456572344359,3.06,310.0,29.47,0.95,0.02,1,0,0,1
메밀전,0.38941438618340657,-0.43775868707817334,-0.7289880676901376,1.7608750957500487,0.3,145.0,0.0,0.26,0.0,1,0,0,1
메추리알 돼지고기장조림,0.030971028524570465,0.9442114323723829,0.10807053326989087,-0.6245981565622049,1.54,348.0,125.015,1.99,,0,1,0,1
메추리알 어묵조림,0.5876645399092255,0.5972842406711408,0.3474627790697433,0.3927760671809262,8.226666667,917.0,200.4166667,1.813333333,,1,1,1,1
멕시컨샐러드,-0.23365752476769944,-0.3313329021148235,0.3572338911432066,-0.6307745259618274,2.766666667,308.3333333,39.1,1.723333333,,0,0,1,0
멘보샤,1.7488440093043258,0.579546610365611,2.6843870833063987,0.041852025429316826,1.0,696.0,69.91,3.57,0.14,0,1,2,2
멸치 미역국,-1.224908291272685,-0.8947635283913811,-0.7713295533418121,-0.9551335383032913,0.0,375.0,2.38,0.07,,0,0,0,0
멸치볶음,0.3203808506342974,2.225233564615056,-0.1284718048418682,-0.4325329920062028,4.1825,1228.25,202.7625,0.875,0.04,0,2,0,1
멸치젓_양념,-0.3646442328914783,0.7172740967887696,-0.5726502745147236,-0.42197339271007406,0.6,6667.0,117.6,0.8,0.0,0,1,0,0
멸치조림,0.6294386790156938,2.09204482490357,0.4689502725164712,-0.45496715956741224,4.026,1529.4,149.876,1.402,0.09,0,2,1,1
명란젓_양념,0.24072677115455604,1.7439699046704966,0.23183795286709347,-0.6945305971837367,0.0,2044.0,247.92,0.72,0.05,0,1,1,1
명란찌개,-1.0337385005213058,-0.5817465137932935,-0.7387591797636008,-0.7933525075776963,0.84,367.0,44.64,0.08,,0,0,0,0
명란찜,-0.6726400068798115,0.044287515402881394,-0.4684250790644477,-0.7646622755278372,1.28,1130.0,111.82,0.41,,0,0,0,0
명태 매운탕,-0.8000865340473977,0.044287515402881394,-0.6654758392126255,-0.7606775210764677,0.79,58.0,16.7,0.16,,0,0,0,0
모닝빵,2.01435760757013,0.4199079329205864,0.37677611529013333,3.1459757430460304,7.97,489.0,40.54,3.03,0.06,2,1,1,2
모듬 초밥,0.6814793442757916,0.482511335840204,-0.3389578440910581,1.2815091352503174,2.375,369.5,61.48,0.875,,1,1,0,1
모듬 콩조림,0.6018252647960503,0.6703215445990564,0.6503672533471075,0.21399341772847222,3.85,321.0,0.0,1.55,,1,1,1,1
모듬배추나물,-0.9806357808681448,-0.8008584240119547,-0.6263913909187722,-0.6925382199580522,1.365,296.0,0.0,0.2,,0,0,0,0
모듬버섯볶음,-0.5876756554347541,-0.5973973645231979,-0.09060874555719767,-0.46819654434595837,2.0,430.0,2.13,0.75,,0,0,0,0
모듬찰떡,1.0744394697091824,-0.04257470614808784,-0.29905913645774945,2.3697455759192834,3.05,195.5,0.0,0.465,0.005,2,0,0,1
모듬채소전,0.3150705786689813,-0.5347939616035804,0.0868997904440536,0.6873822465511494,1.21,173.0,8.83,0.91,,1,0,0,1
모듬채소전골,-1.108082308035731,-0.7852075732820504,-0.7355021424057798,-0.8443573645552238,0.61,145.0,1.3,0.14,,0,0,0,0
모듬회,0.09203915612570551,2.454518527808155,-0.4570254483120738,-0.6012873430216942,2.44,493.0,42.14,0.44,,0,2,0,1
모밀국수,-0.014166283180616305,-0.3587218908921561,-0.7652226082958974,0.9734876161594679,1.8475,359.0,0.0,0.1175,,1,0,0,1
모자반무침,-1.118702851966363,-0.8650269120045627,-0.7680725159839908,-0.6642464633533298,1.3,186.0,0.01,0.07,,0,0,0,0
모카빵,2.279871205835935,0.27122485098649496,0.4777442733825883,3.6074103085146,12.53,354.0,52.07,3.76,0.31,2,1,1,2
몸국,-1.0868412201744666,-0.6130482152531023,-0.7273595490112269,-0.8889866144105605,0.4,119.0,5.86,0.21,,0,0,0,0
무 된장국,-1.1346336678623115,-0.8399855508367157,-0.7684796456537186,-0.8445566022777923,0.705,238.25,6.925,0.0775,,0,0,0,0
무 북어국,-1.0576347243652282,-0.4917541220963434,-0.7273595490112269,-0.9300295852596645,0.3625,162.0,19.85,0.1625,,0,0,0,0
무 어묵조림,-0.14692308231351858,-0.08091929043635357,-0.3348865473937817,0.1637855116412185,4.285,622.5,9.11,0.535,,1,0,0,1
무 파래무침,-1.0762206762438344,-0.8947635283913811,-0.7713295533418121,-0.6243989188396364,2.62,221.0,0.0,0.07,,0,0,0,0
무국,-1.2461493791339493,-1.0231005043765968,-0.8055284455989339,-0.9128951411187765,0.39,180.5,0.005,0.03,,0,0,0,0
무나물,-1.0045320047120672,-0.973017782040903,-0.5632862921109879,-0.7491217331674966,1.2725,408.0,0.0,0.235,,0,0,0,0
무나물무침,-1.0974617641050988,-0.969887611894922,-0.7583014039105276,-0.7216269274530482,3.3,352.0,0.0,0.04,0.0,0,0,0,0
무말랭이무침,-0.1916810887266036,-0.5989624495961883,-0.6424439322521128,0.6966041071944402,8.79,537.0,1.665714286,0.35,0.016666667,1,0,0,0
무말랭이장아찌,-0.07788954676440939,-0.4252380064942498,-0.3072017298523022,0.4498908812495369,6.61,1287.0,0.0,0.51,,1,0,0,1
무밥,0.5593430890735215,-0.4878414094138672,-0.6605902831758939,1.9114988140118099,0.79,198.0,0.0,0.21,,2,0,0,1
무생채,-0.9062919733537196,-0.8544625877618772,-0.7025246391578408,-0.4448857308054478,3.33,500.0,2.0225,0.125,0.02,0,0,0,0
무숙장아찌,-0.33278260109958174,-0.4878414094138672,0.21555276607798793,-0.6307745259618274,2.36,1391.0,12.6,2.07,,0,0,1,0
무장아찌,-0.27967988144642086,-0.7562534994317273,-0.2852167276870096,0.22395530385689555,8.53,1646.0,0.065,0.48,0.0,1,0,0,0
무조림,-0.8149552955502828,-0.6831640265230738,-0.6599388757043297,-0.39312377048216013,2.866,1023.8,0.128,0.174,0.04,0,0,0,0
무지개떡,1.1116113734663948,-0.5144478556547047,-0.782729184094186,3.2129196178290353,8.99,277.0,0.0,0.16,0.0,2,0,0,1
무짠지,-1.2036672034114206,-0.9824082924788455,-0.8136710389934867,-0.8539207752385102,1.58,2382.0,0.0,0.02,0.0,0,0,0,0
무청나물,-0.4708496721978001,-0.6286990659830066,0.05270089818693183,-0.53035871378732,0.32,367.0,0.0,0.81,,0,0,0,0
치킨무,-1.1399439398276274,-0.9855384626248265,-0.7843577027730966,-0.7686470299792064,1.75,189.0,0.0,0.02,0.0,0,0,0,0
묵국,-1.0868412201744666,-0.9104143791212854,-0.7680725159839908,-0.7272055836849652,0.28,238.0,0.0,0.03,0.0,0,0,0,0
묵말이,-0.9381536051456161,-0.9855384626248265,-0.7273595490112269,-0.46182093722376744,0.48,247.0,0.0,0.09,0.0,0,0,0,0
묵무침,-0.6832605508104437,-0.9714526969679124,-0.5669504591385367,-0.16296435337106713,1.125,221.5,0.0,0.205,0.005,0,0,0,0
묵밥,-0.5850205194520961,-0.7006929793405667,-0.7171813072680359,0.03567565602969431,0.765,123.75,1.1225,0.1825,0.0,0,0,0,0
문어무침,-0.6142270152613345,0.12254176905240326,-0.4961098966059273,-0.603279720247379,1.675,342.5,60.815,0.3,,0,1,0,0
문어볶음,-0.6089167432960184,-0.14352269335597098,-0.4049128505869359,-0.5694093074107396,3.65,240.0,47.0,0.39,,0,0,0,0
물김치,-1.2673904669952136,-1.0184052491576256,-0.8201851137091289,-0.9519457347421959,0.35,237.0,0.0,0.01,0.0,0,0,0,0
물회,-0.5133318479203288,-0.29846611558202435,-0.3935132198345619,-0.3821258481963807,2.86,299.0,17.18,0.4,0.01,0,0,0,0
미꾸라지튀김,2.7896573145062797,0.6374547580662573,3.3015956626135012,1.2874862669273717,0.3,324.0,50.15,3.89,0.15,1,1,2,2
미나리 초무침,-0.8284079845644853,-0.7591228220133736,-0.616077439339956,-0.3568890699778099,4.33,541.6666667,0.0,0.216666667,,0,0,0,0
미나리나물,-0.693881094741076,-0.7492106166032704,-0.23554690798023753,-0.6546830526700433,0.0,301.0,0.0,0.5,0.02,0,0,0,0
미나리무침,-1.0160375939348503,-0.8942418334192204,-0.6253057117452145,-0.7160482712211311,1.676666667,370.0,0.0,0.186666667,0.01,0,0,0,0
미나리전,0.28320894687708476,-0.5207081959466664,-0.00592577425384842,0.8069248800922295,1.16,166.0,7.92,0.82,0.04,1,0,0,1
미더덕찜,-0.5027113039896967,0.13819261978230774,-0.5368228635786912,-0.37017158484227264,1.18,391.0,35.08,0.29,,0,1,0,0
미소된장국,-1.1017099816773517,-0.8199524619024381,-0.6915321380751945,-0.8633247957437419,0.382,282.0,0.064,0.124,0.0,0,0,0,0
미역 된장국,-1.1771158435848401,-0.8791126776614766,-0.7526015885343406,-0.8822125318432326,0.28,295.5,0.2,0.09,,0,0,0,0
미역 오이무침,-0.6868007320852527,-0.7799906230909185,-0.623677193066304,0.035210768276018205,6.8,843.3333333,0.0,0.213333333,,0,0,0,0
미역국,-1.220660073700432,-0.9213699746322185,-0.7583014039105276,-0.9401508615661427,0.056,349.0,4.158,0.072,0.0,0,0,0,0
미역줄기볶음,-0.6159971059518417,-0.8480718237660024,0.0347871927189156,-0.6619884358574522,0.753333333,659.1666667,0.373333333,0.76,0.055,0,0,0,0
미역초무침,-0.8638097976311908,-0.8139007995680388,-0.7132457204063848,-0.3566234197076169,4.303333333,485.0,0.38,0.11,0.0,0,0,0,0
미역튀각,2.9595860173963944,1.0960246844524555,4.387817621446846,0.9587440246894013,7.31,4605.0,0.0,5.07,0.48,1,1,2,2
미트 스파게티,-0.16285389820946683,-0.39393630503444105,-0.5199948372842328,0.46928335264721727,2.82,136.0,5.0,0.49,,1,0,0,0
미트볼조림,0.34693221046087785,0.1835800868990304,0.5018463498304645,0.07452701193054541,6.64,389.8,18.252,2.408,0.08,1,1,1,1
민들레무침,-1.0337385005213058,-0.8791126776614766,-0.7159599182588531,-0.6483074455478526,1.61,244.0,0.0,0.1,,0,0,0,0
민들레잎무침,-0.46022912826716794,-0.6459150017859016,-0.4537684109542527,-0.029873554695331272,8.16,248.0,0.0,0.21,0.01,0,0,0,0
민어 매운탕,-0.9487741490762482,-0.3626346035746323,-0.704560287506479,-0.7742256862111234,0.92,140.0,9.02,0.15,,0,0,0,0
민어구이,-0.19471553000136338,0.905084305547622,0.06735756629712686,-0.981432917682329,0.0,703.0,40.6,0.89,,0,1,0,0
