,url,title,calories,carbohydrates,protein,fat,ingredients
30,https://www.10000recipe.com/recipe/6989690,아이반찬 양파소세지볶음 레시피 양파요리 초스피드반찬,1135.5,38.5,53.5,87.5,"양파, 비엔나 소세지, 굴소스, 올리고당, 참기름, 통깨"
31,https://www.10000recipe.com/recipe/7009944,오이고추된장무침 (사계절 먹기좋은 밑반찬 고추무침 5분 레시피),105,10,4,6,"오이고추, 된장, 고추장, 참기름, 올리고당, 통깨"
32,https://www.10000recipe.com/recipe/7044276,무설탕 알록달록 파프리카 간장 피클,1080,240,20,0,"파프리카, 고추, 양파, 간장, 설탕, 식초"
33,https://www.10000recipe.com/recipe/7005830,도토리묵김무침 레시피 아이반찬,320,23,12,20,"도토리묵, 조미김, 진간장, 설탕, 참기름, 통깨, 파"
34,https://www.10000recipe.com/recipe/7037835,소시지 채소 볶음,1015.5,23.9,38.6,86.7,"비엔나 소세지, 마늘, 양파, 파프리카, 파, 굴소스, 참기름, 후추, 소금, 통깨, 식용유"
35,https://www.10000recipe.com/recipe/7040598,[메추리알장조림] 홍두깨살이 들어간 장조림 레시피 | 신혼밥상,3150,144,292,155,"홍두깨살, 메추리알, 마늘, 파, 간장, 맛술, 설탕엿"
36,https://www.10000recipe.com/recipe/7017809,시금치 계란 볶음 레시피 다이어트 반찬,614,6,33,51,"시금치, 계란, 버터, 마늘, 소금, 올리브유, 소금"
37,https://www.10000recipe.com/recipe/6993517,새송이버섯버터굴소스볶음 간단반찬,150,5,3,12,"새송이버섯, 버터, 굴소스, 진간장, 통깨"
38,https://www.10000recipe.com/recipe/7003487,청경채 된장 무침으로,215.5,17.9,6.1,14.1,"청경채, 쪽파, 된장, 간마늘, 고춧가루, 설탕, 매실액, 들기름, 통깨"
39,https://www.10000recipe.com/recipe/7032079,감자꽈리고추조림 밥통 거덜내는 무시무시한 저녁반찬,1025,191,29,15,"감자, 꽈리고추, 마늘, 고추장, 된장, 고춧가루, 설탕, 진간장, 맛술, 참기름, 올리고당"
40,https://www.10000recipe.com/recipe/7030132,대패 제육볶음 레시피 대패삼겹살 돼지 대패 두루치기,4130,68,224,336,"대패삼겹살, 파, 양파, 설탕, 올리고당, 참기름, 통깨, 후추, 고춧가루, 고추장, 진간장, 마늘, 매실액, 맛술"
41,https://www.10000recipe.com/recipe/7029194,감자 계란국 끓이는 법 계란 감자국 간단한 맑은 국 요리,420,50,20,15,"감자, 계란, 양파, 파, 코인 육수, 마늘, 국간장, 소금, 후추"
42,https://www.10000recipe.com/recipe/7013562,새송이버섯볶음 간장버섯조림 어린이 밑반찬,1025,38,15,91,"새송이버섯, 파, 식용유, 진간장, 올리고당, 마늘, 참기름, 깨소금, 식용유"
43,https://www.10000recipe.com/recipe/7028655,참기름 스팸김치볶음 레시피,1160,38,47,93,"김치, 스팸, 식용유, 고춧가루, 간장, 설탕, 올리고당, 참기름, 통깨"
44,https://www.10000recipe.com/recipe/7007585,베이컨감자채볶음,1025,108,38,53,"감자, 베이컨, 파, 통깨, 소금, 양파"
45,https://www.10000recipe.com/recipe/7044413,상추 겉절이 상추 무침,165,10,5,11,"상추, 진간장, 식초, 설탕, 고추가루, 참기름, 마늘, 참깨"
46,https://www.10000recipe.com/recipe/7030095,매운 어묵볶음 어묵 요리 맛있게 만들기,320,29,24,10,"어묵, 파, 마늘, 알룰로스, 고춧가루, 간장"
47,https://www.10000recipe.com/recipe/6991123,"고소한 맛이 좋은 밑반찬, 애호박버섯볶음 만들기(새우젓없이 만들기)",1020,48,16,86,"느타리버섯, 애호박, 식용유, 마늘, 소금, 참기름, 후추"
48,https://www.10000recipe.com/recipe/7004229,[참치쌈장] 입맛없을때 밥도둑이요!,614,31,41,38,"참치, 양파, 청양고추, 기름, 된장, 고추장, 고춧가루, 마늘, 올리고당, 매실엑기스, 참기름, 깨"
49,https://www.10000recipe.com/recipe/7042532,삼겹살 제육볶음,1740,68,123,114,"삼겹살, 마늘, 양파, 파, 설탕, 고춧가루, 간장, 멸치액젓, 식초"
50,https://www.10000recipe.com/recipe/7037873,얼갈이무침 이렇게 만들면 정말 맛있어요 얼갈이들깨무침 레시피,420,12,12,36,"얼갈이, 마늘, 국간장, 갈은깨, 들기름, 들깨가루, 소금"
51,https://www.10000recipe.com/recipe/7004418,참나물 된장무침 만들기,180,8,6,15,"참나물, 고추장, 마늘, 된장, 참기름, 깨"
