url,title,ingredients
https://www.10000recipe.com/recipe/7030132,대패 제육볶음 레시피 대패삼겹살 돼지 대패 두루치기,"대패삼겹살, 파, 양파, 설탕, 올리고당, 참기름, 통깨, 후추, 고춧가루, 고추장, 진간장, 마늘, 매실액, 맛술"
https://www.10000recipe.com/recipe/7007585,베이컨감자채볶음,"감자, 베이컨, 파, 통깨, 소금, 양파"
https://www.10000recipe.com/recipe/7029194,감자 계란국 끓이는 법 계란 감자국 간단한 맑은 국 요리,"감자, 계란, 양파, 파, 코인 육수, 마늘, 국간장, 소금, 후추"
https://www.10000recipe.com/recipe/7030325,도토리묵무침,"도토리묵, 파, 참기름, 조미김, 통깨, 소금, 후추"
https://www.10000recipe.com/recipe/7045931,고추장 감자조림 만들기 매콤 매운 감자볶음 레시피,"감자, 파, 양파, 식용유, 마늘, 참기름, 깨, 진간장, 고추장, 고춧가루엿, 설탕, 참치액"
https://www.10000recipe.com/recipe/6991123,"고소한 맛이 좋은 밑반찬, 애호박버섯볶음 만들기(새우젓없이 만들기)","느타리버섯, 애호박, 식용유, 마늘, 소금, 참기름, 후추"
https://www.10000recipe.com/recipe/7004229,[참치쌈장] 입맛없을때 밥도둑이요!,"참치, 양파, 청양고추, 기름, 된장, 고추장, 고춧가루, 마늘, 올리고당, 매실엑기스, 참기름, 깨"
https://www.10000recipe.com/recipe/7030095,매운 어묵볶음 어묵 요리 맛있게 만들기,"어묵, 파, 마늘, 알룰로스, 고춧가루, 간장"
https://www.10000recipe.com/recipe/7045351,들깨수제비,"밀가루, 애호박, 들깨가루, 간마늘, 사골곰탕"
https://www.10000recipe.com/recipe/7040598,[메추리알장조림] 홍두깨살이 들어간 장조림 레시피 | 신혼밥상,"홍두깨살, 메추리알, 마늘, 파, 간장, 맛술, 설탕엿"
https://www.10000recipe.com/recipe/7004418,참나물 된장무침 만들기,"참나물, 고추장, 마늘, 된장, 참기름, 깨"
https://www.10000recipe.com/recipe/7045864,양배추 참치덮밥 레시피 다이어트 양배추덮밥 레시피,"밥, 양배추, 참치캔, 당근, 올리브유, 참치액, 계란, 참기름, 파, 통깨"
https://www.10000recipe.com/recipe/6983042,쪽파계란말이 만들기-딸에게#,"계란, 맛술, 참치액, 쪽파, 기름"
https://www.10000recipe.com/recipe/6995956,생일상으로 딱 <하트맛살전> : 사랑하는 마음을 담아서 짜란,"맛살, 계란, 참치캔, 청양고추, 양파, 소금, 후추"
https://www.10000recipe.com/recipe/7039745,카레 부추 볶음밥,"밥, 카레가루, 버터, 올리브유, 부추, 마늘, 통깨, 달걀, 식용유"
https://www.10000recipe.com/recipe/7045872,시금치나물 된장무침 만드는법,"시금치, 파, 소금, 된장, 국간장, 멸치액젓, 고춧가루, 마늘, 참기름, 통깨"
https://www.10000recipe.com/recipe/6957003,단짠단짠 마성의 베이컨덮밥♡,"베이컨, 양파, 진간장, 설탕, 맛술, 마늘, 굴소스"
https://www.10000recipe.com/recipe/7036904,우삼겹 콩나물 불고기,"우삼겹, 콩나물, 고추장, 진간장, 맛술, 설탕, 간마늘, 다시다, 후추"
https://www.10000recipe.com/recipe/6992063,"내 인생 레시피,친정 엄마표 “파채무침”","파, 양파, 식초, 간장, 설탕, 고춧가루, 참기름, 통깨"
https://www.10000recipe.com/recipe/7044413,상추 겉절이 상추 무침,"상추, 진간장, 식초, 설탕, 고추가루, 참기름, 마늘, 참깨"
https://www.10000recipe.com/recipe/6933414,#최애반찬#소세지강정,"비엔나 소세지, 양파, 캐첩, 간장, 설탕, 식초, 굴소스, 올리고당"
https://www.10000recipe.com/recipe/7042532,삼겹살 제육볶음,"삼겹살, 마늘, 양파, 파, 설탕, 고춧가루, 간장, 멸치액젓, 식초"
https://www.10000recipe.com/recipe/6994258,[밑반찬] 10분 밑반찬 딱딱하지않고 부드러운 오징어채,"오징어채, 맛술, 마요네즈, 식용유, 마늘, 고추장, 고추가루, 간장, 올리고당, 설탕, 마요네즈, 참기름, 깨"
https://www.10000recipe.com/recipe/7011685,베이컨 떡말이 어린이 간식 간단 술안주,"떡볶이떡, 베이컨, 파슬리, 머스타드"
https://www.10000recipe.com/recipe/7001752,아이 반찬 콩나물 & 크래미 무침 - 아이들 콩나물과 친해져요.,"콩나물, 크래미, 파, 소금, 들기름, 깨소금"
https://www.10000recipe.com/recipe/7014762,[공모전] 뜨끈한 국물요리 소고기미역국,"소고기, 미역, 참기름, 소금, 국간장"
https://www.10000recipe.com/recipe/7045536,<다이어트 건강식> 초간단 양배추 닭가슴살 덮밥,"양배추, 닭가슴살, 마늘, 양파, 달걀, 밥, 진간장, 참치액, 올리브유, 굴소스, 알룰로스, 파슬리"
https://www.10000recipe.com/recipe/7020127,베이컨 반찬 베이컨숙주볶음 레시피,"베이컨, 숙주, 청양고추, 파, 식용유, 통깨, 쪽파, 간장, 맛술, 굴소스, 마늘, 올리고당"
https://www.10000recipe.com/recipe/7035098,새콤달콤 무생채 레시피 아삭한 무생채 만드는 법,"무, 고춧가루, 식초, 설탕, 까나리액젓, 마늘, 파, 소금, 깨"
https://www.10000recipe.com/recipe/7044276,무설탕 알록달록 파프리카 간장 피클,"파프리카, 고추, 양파, 간장, 설탕, 식초"
